Question,Answer
Bình Định thuộc vùng nào?,Duyên hải Nam Trung Bộ
Tỉnh lỵ của Bình Định là gì?,Thành phố cảng Quy Nhơn
Địa hình Bình Định?,vùng đồi và vùng đồng bằng
Cao Bằng thuộc vùng nào?,Đông Bắc Bộ
Diện tích tự nhiên của Cao Bằng là bao nhiêu?,"6690,72 km2"
Khí hậu của Cao Bằng là?,ôn hòa dễ chịu
Hà Giang thuộc vùng nào?,Đông Bắc Bộ
Dân số Hà Giang là bao nhiêu?,854679 người
Hà Giang nằm ở cực nào của Việt Nam?,cực bắc
Tỉnh thành nào là địa phương đứng thứ nhì về dân số của Việt Nam?,Hà Nội
Diện tích của Hà Nội là bao nhiêu?,"3324,92 km2"
Khí hậu Hà Nội là gì?,Nhiệt đới gió mùa
Hà Tĩnh thuộc vùng nào?,Bắc Trung Bộ
Đơn vị hành chính đông dân thứ 25 của Việt Nam là?,Hà Tĩnh
Khí hậu Hà Tĩnh là gì?,Nhiệt đới gió mùa nóng ẩm và mưa nhiều
Thành phố cảng quan trọng của Việt Nam là?,Hải Phòng
Tỉnh thành có mỹ danh là Thành phố Hoa Phượng Đỏ tỉnh thành nào?,Hải Phòng
Hải Phòng thuộc vùng nào?,Đồng bằng Sông Hồng
Xứ Lạng là tỉnh thành nào?,Lạng Sơn
Lạng Sơn thuộc vùng nào?,Đông Bắc Bộ
Khí hậu Lạng Sơn là gì?,Cận nhiệt đới ẩm
Lào Cai thuộc vùng nào?,Tây Bắc Bộ
Dân số tỉnh Lào Cai là bao nhiêu?,665200 người
Lào Cai có mấy đơn vị hành chính cấp huyện trực thuộc?,9
Nam Định thuộc vùng nào?,Duyên hải Bắc Bộ
Nam Định có diện tích? ,1668
Dân số Nam Định là bao nhiêu?,1850000 người
Tỉnh có diện tích lớn nhất Việt Nam là?,Nghệ An
Nghệ An thuộc vùng?,Bắc Trung Bộ
Đơn vị hành chính đông dân thứ 4 của Việt Nam là?,Nghệ An
Quảng Bình thuộc vùng nào?,Duyên hải Bắc Trung Bộ
Đơn vị hành chính đông dân thứ 47 của Việt Nam là?,Quảng Bình
Diện tích tự nhiên của Quảng Bình là?,"8065,27 km2"
Quảng Ninh thuộc vùng nào?,Đông Bắc Bộ
Tỉnh thành được ví như Việt Nam thu nhỏ là?,Quảng Ninh
Tỉnh khai thác than đá chính của Việt Nam là?,Quảng Ninh
Quảng Trị thuộc vùng nào?,Bắc Trung Bộ
Đơn vị hành chính đông dân thứ 57 của Việt Nam là?,Quảng Trị
Địa hình Quảng Trị?,Cồn cát và biển
Thái Bình thuộc vùng nào?,Duyên hải Bắc Bộ
Khí hậu Thái Bình?,Cận nhiệt đới ẩm
Thái Bình có bờ biển dài?,52 km
Tỉnh đông dân nhất Việt Nam là?,Thanh Hóa
Thanh Hóa thuộc khu vực?,Bắc Trung Bộ
Diện tích tự nhiên của Thanh Hóa là?,"11120,6 km2"
An Giang thuộc vùng nào?,Đồng bằng Sông Cửu Long
Tỉnh đông dân nhất đồng bằng sông Cửu Long là?,An Giang
Diện tích tự nhiên của An Giang là?,"35366,685 km2"
Bến Tre thuộc vùng nào?,Đồng bằng Sông Cửu Long
Đơn vị hành chính đông dân thứ 28 của Việt Nam là?,Bến Tre
Quê hương của Đạo Dừa là tỉnh thành nào?,Bến Tre
Bình Thuận thuộc vùng nào?,Duyên hải Nam Trung Bộ
Đơn vị hành chính đông dân thứ 32 của Việt Nam là?,Bình Thuận
Tỉnh lỵ của Bình Thuận là gì?,Phan Thiết
Cà Mau thuộc khu vực nào?,Đồng bằng Sông Cửu Long
Đơn vị hành chính đông dân thứ 26 của Việt Nam là?,Cà Mau
Cà Mau có bao nhiêu trường đại học?,2
Tỉnh thành hiện đại và phát triển nhất Đồng bằng Sông Cửu Long là?,Cần Thơ
Đơn vị hành chính đông dân thứ 24 của Việt Nam là?,Cần Thơ
Quê hương của Út Trà Ôn là?,Cần Thơ
Tỉnh lỵ của Lâm Đồng là?,Đà Lạt
Đà Lạt thuộc vùng?,Tây Nguyên
Khí hậu của Đà Lạt?,Miền núi ôn hòa và dịu mát quanh năm
Diện tích tự nhiên của Đồng Nai là?,"5907,2 km2"
Tỉnh lỵ của Đồng Nai là?,Thành phố Biên Hòa
Cửa ngõ phía đông của TpHCM là?,Đồng Nai
Đồng Tháp thuộc vùng nào?,Đồng bằng Sông Cửu Long
Đơn vị hành chính đông dân thứ 15 của Việt Nam là?,Đồng Tháp
Tỉnh thành nổi tiếng với những ruộng sen là?,Đồng Tháp
Khánh Hòa thuộc vùng nào?,Duyên hải Nam Trung Bộ
Đơn vị hành chính đông dân thứ 33 của Việt Nam là?,Khánh Hòa
Đường bờ biển của Khánh Hòa dài?,385 km
Long An thuộc vùng nào?,Đồng bằng Sông Cửu Long
Tỉnh lỵ của Long An là?,Thành phố Tân An
Dân số của Long An là?,1695150
Tây Ninh thuộc vùng nào?,Đông Nam Bộ
Tỉnh thành thời xa xưa là ột vùng đất thuộc Thủy Chân Lạp là?,Tây Ninh
Cầu nối giữa Thành phố Hồ Chí Minh và thủ đô Phnom Penh là?,Tây Ninh
Tiền Giang thuộc vùng nào?,Đồng bằng Sông Cửu Long
Tỉnh lỵ của Tiền Giang là?,Mỹ Tho
Đường bờ biển của Tiền Giang dài?,32km
Vùng đất được gọi là thành trong rừng là?,TpHCM
Nơi được gọi là Sài Gòn là?,TpHCM
Vùng đất ban đầu được gọi là Prey Nokor theo tiếng Khmer là?,TpHCM
Phía đông của Vĩnh Long giáp với?,Bến Tre
Phía đông nam của Vĩnh Long giáp với?,Trà Vinh
Phía tây của Vĩnh Long giáp với?,Cần Thơ
Ninh Thuận thuộc vùng nào?,Duyên hải Nam Trung Bộ
Tỉnh lỵ của Ninh Thuận là?,Thành phố Phan Rang
Đơn vị hành chính đông dân thứ 58 của Việt Nam là?,Ninh Thuận
